,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Seating_Capacity,Compression_Ratio,Turbocharger,max_power,max_power_rpm,max_torque,max_torque_rpm
762,Tata,Harrier,Revotorq Xt,1591368,1956.0,3.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,50.0,Diesel,16.7,1080.0,6,205.0,5.0,,True,102.96986,3750.0,350.0,2125.0
763,Isuzu,Dmax V-Cross,Standard,1654783,2499.0,4.0,4.0,AWD (All Wheel Drive),BS IV,"Front, Transverse",Injection,,Diesel,10.3,1935.0,5,,5.0,,True,98.556866,3600.0,320.0,2300.0
764,Isuzu,Dmax V-Cross,High Z,1806813,2499.0,4.0,4.0,AWD (All Wheel Drive),BS IV,"Front, Transverse",Injection,,Diesel,10.3,1945.0,5,,5.0,,True,99.9238,3600.0,320.0,2300.0
765,Isuzu,Dmax V-Cross,Z Prestige,1999000,1898.0,4.0,4.0,AWD (All Wheel Drive),BS IV,"Front, Transverse",Injection,,Diesel,10.3,1935.0,6,225.0,5.0,,True,110.32485,3600.0,350.0,2300.0
766,Mitsubishi,Outlander,2.4L Outlander,2693000,2360.0,4.0,4.0,AWD (All Wheel Drive),,,,60.0,Petrol,9.62,1602.0,6,190.0,7.0,,False,122.828333,6000.0,222.0,4100.0
767,,Mercedes-Benz Gla-Class,200 Sport,3438000,1991.0,4.0,4.0,4WD,BS IV,"Front, Longitudinal",Injection,50.0,Petrol,13.8,1525.0,7,183.0,5.0,,True,134.596317,5500.0,300.0,1300.0
768,,Mercedes-Benz Gla-Class,200 D Style,3233000,2143.0,4.0,4.0,4WD,BS IV,"Front, Longitudinal",Injection,70.0,Diesel,17.9,1585.0,7,183.0,5.0,,True,100.02786400000001,4000.0,300.0,2300.0
769,,Mercedes-Benz Gla-Class,200 D Sport,3564000,2143.0,4.0,4.0,4WD,BS IV,"Front, Longitudinal",Injection,70.0,Diesel,17.9,1585.0,7,183.0,5.0,,True,100.02786400000001,4000.0,300.0,2300.0
770,,Mercedes-Benz Gla-Class,45 Amg 4Matic,7784944,1991.0,4.0,4.0,4WD,BS IV,"Front, Longitudinal",Injection,50.0,Petrol,13.8,1720.0,7,183.0,5.0,8.6,True,264.77964000000003,6000.0,450.0,3625.0
771,,Mercedes-Benz Gla-Class,220 D 4Matic,3864000,2143.0,4.0,4.0,4WD,BS IV,"Front, Longitudinal",Injection,70.0,Diesel,17.9,1585.0,7,183.0,5.0,,True,125.03483,4000.0,350.0,2400.0
